country,pathogen_antibiotic,years_of_data,latest_year,latest_resistance_pct,predicted_next_year,predicted_resistance_pct,trend_pct_per_year
Bulgaria,Klebsiella pneumoniae - Carbapenems,20,2024,67.6,2025,50.3,3.25
Romania,Klebsiella pneumoniae - Carbapenems,15,2024,50.26,2025,57.26,3.12
Greece,Klebsiella pneumoniae - Carbapenems,20,2024,60.24,2025,76.87,1.89
Cyprus,Klebsiella pneumoniae - Carbapenems,19,2024,48.46,2025,34.35,1.75
Croatia,Klebsiella pneumoniae - Carbapenems,19,2024,31.33,2025,24.86,1.63
Italy,Klebsiella pneumoniae - Carbapenems,19,2024,23.96,2025,36.34,1.38
Poland,Klebsiella pneumoniae - Carbapenems,17,2024,18.85,2025,17.52,1.2
Slovakia,Klebsiella pneumoniae - Carbapenems,14,2024,13.12,2025,13.86,1.02
Portugal,Klebsiella pneumoniae - Carbapenems,18,2024,12.52,2025,14.52,0.91
Slovakia,"Escherichia coli - Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)",19,2024,9.29,2025,17.01,0.55
Croatia,"Escherichia coli - Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)",23,2024,9.56,2025,11.14,0.52
Greece,"Escherichia coli - Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)",25,2024,12.72,2025,14.08,0.51
Poland,"Escherichia coli - Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)",24,2024,8.93,2025,11.21,0.49
Latvia,"Escherichia coli - Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)",19,2024,18.15,2025,13.21,0.49
Slovakia,Staphylococcus aureus - Meticillin (MRSA),19,2024,19.26,2025,27.8,0.47
Italy,"Escherichia coli - Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)",23,2024,10.54,2025,14.01,0.42
Hungary,"Escherichia coli - Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)",24,2024,7.83,2025,12.16,0.41
Cyprus,"Escherichia coli - Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)",21,2024,12.75,2025,15.17,0.41
Malta,Klebsiella pneumoniae - Carbapenems,19,2024,2.84,2025,8.73,0.39
Bulgaria,"Escherichia coli - Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)",24,2024,10.71,2025,19.33,0.38
Spain,Klebsiella pneumoniae - Carbapenems,20,2024,5.34,2025,5.91,0.34
Latvia,Klebsiella pneumoniae - Carbapenems,19,2024,9.94,2025,4.44,0.28
Malta,"Escherichia coli - Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)",24,2024,21.7,2025,10.49,0.28
Czechia,"Escherichia coli - Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)",24,2024,4.78,2025,7.35,0.28
Spain,"Escherichia coli - Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)",24,2024,6.07,2025,7.74,0.27
